product_id,product_name,category,price_yen,stock,description
1,Pocky Chocolate,Chocolate,198,172,"Thin crispy biscuit sticks coated in rich milk chocolate. Japan's most iconic snack, perfect for sharing. A must-try treat loved by all ages."
2,Pocky Strawberry,Chocolate,218,238,"Classic Pocky sticks dipped in sweet strawberry-flavored chocolate. A fruity twist on the original, popular among kids and adults alike."
3,KitKat Matcha,Chocolate,398,411,Premium Japanese KitKat featuring layers of crispy wafer coated in smooth matcha white chocolate. A beloved souvenir straight from Japan.
4,KitKat Sakura,Chocolate,432,357,Limited-edition cherry blossom flavored KitKat with a delicate floral sweetness. A beautiful seasonal treat unique to Japan.
5,Black Thunder Chocolate Bar,Chocolate,108,386,A crunchy chocolate bar packed with cocoa cookies and crispy bits. Famous for its bold flavor and incredible value — a convenience store legend.
6,Meiji Apollo Strawberry Chocolates,Chocolate,248,241,"Adorable cone-shaped chocolates with a strawberry top and milk chocolate base. Bite-sized, colorful, and irresistibly delicious."
7,Dars Chocolate,Chocolate,268,491,Silky smooth milk chocolate pieces that melt in your mouth. Each box contains individually wrapped squares perfect for savoring slowly.
8,Koala's March Cookies,Chocolate,248,132,Cute koala-shaped biscuits filled with creamy chocolate. Each cookie features a unique koala illustration — fun to eat and collect.
9,Glico Almond Chocolate,Chocolate,348,98,Whole roasted almonds enrobed in premium Glico milk chocolate. A satisfying combination of crunch and creaminess in every bite.
10,Meiji Macadamia Chocolate,Chocolate,398,216,"Crunchy macadamia nuts wrapped in velvety Meiji milk chocolate. A rich and indulgent treat, perfect as a gift or personal reward."
11,Toppo Chocolate Sticks,Chocolate,238,274,Crispy pretzel-like tubes filled with smooth chocolate cream inside. The clever inside-out design keeps your fingers clean while snacking.
12,Meiji Marble Chocolates,Chocolate,228,479,Colorful candy-coated chocolate drops with a satisfying crunch shell and creamy milk chocolate center. Great for sharing by the handful.
13,Meiji Kinoko no Yama,Chocolate,248,283,Adorable mushroom-shaped biscuits topped with milk chocolate caps. One of Japan's most beloved snacks with a perfect biscuit-to-chocolate ratio.
14,Takenoko no Sato,Chocolate,248,11,Bamboo shoot-shaped cookies coated in rich chocolate. The rival to Kinoko no Yama — pick your side in Japan's most delicious debate.
15,Chocoball Peanut,Chocolate,108,367,Roasted peanuts coated in a thin layer of sweet milk chocolate. A classic Japanese snack loved for its satisfying crunch and affordable price.
